// 2020.12.24 연습랭크 혼합
BnR;P;브리흐네위스키,라인산진,얼음;1:+30,2:-12,3:-12,4:+20,6:+50;36,37,27
감자계란샐러드;P;삶은감자,삶은달걀,마요네즈;1:+3,2:+10,3:+5,6:+25;53,36,11
감자샐러드;P;삶은감자,양파,소금;2:+4,3:+5,6:+19;69,23,8
감자샐러드L;P;삶은감자,양파;0:요리재료;75,25,0
개과자;P;초코칩쿠키,버터비스킷;1:+2,2:+2,6:+8;60,40,0
계란샐러드;P;삶은달걀,마요네즈,소금;1:+3,2:+10,6:+20;76,16,8
계란초밥;P;계란말이,밥,식초;0:요리재료;50,45,5
고기양념;P;소금,후추,마늘;0:요리재료;10,10,80
과일모둠;P;딸기,사과,나무열매;3:+3,6:+25;45,31,24
과일샐러드;P;과일모둠,마요네즈,설탕;2:+5,3:+3,6:+30;75,15,10
구운콩물;P;구운콩가루,물이든병;0:요리재료;75,25,0
그라니타;P;과일모둠,얼음,설탕;5:23,7:27,0:글루아스 연대기 3부 컷씬;50,37,13
껍질벗긴콩물;P;껍질벗긴콩가루,물이든병;0:요리재료;75,25,0
나레스케익세트;P;코코넛파운드케익,가토오쇼콜라,레어치즈케익;3:+5,6:+45;50,30,20
다이어트연어샐러드;P;연어회,양파,와인식초;0:요리재료;71,21,8
드래곤의살덩어리;P;드래곤의살점,드래곤의살점,드래곤의살점;0:요리재료;34,33,33
딸기생크림크레이프;P;크레이프,딸기,생크림;0:요리재료;45,31,24
딸기우유;P;딸기,우유,설탕;2:+6,6:+25;30,65,5
딸기우유L;P;딸기,우유;0:요리재료;31,69,0
라씨;P;플레인요거트,물이든병,과일모둠;0:요리재료;76,10,14
라인슬링;P;라인산진,레몬주스,설탕;1:+20,2:-8,3:-8,4:+15,6:+38;19,73,8
레드선라이즈;P;브리흐네위스키,오렌지주스,설탕;1:+20,2:-10,3:-10,4:+15,6:+42;25,60,15
레몬주스;P;레몬,나무열매,설탕;2:+5,5:+5,6:+10;60,30,10
레몬즙;P;레몬,나무열매,물;0:요리재료;85,10,5
루벤샌드위치;P;식빵,살라미,사우어크라우트;0:요리재료;55,25,20
루트라칵테일세트;P;라인슬링,스크류드라이버,레드선라이즈;1:+20,3:+5;40,30,30
마끼아또;P;에스프레소,스팀밀크,생크림;1:+15,6:+10;30,35,35
마시멜로;P;설탕,젤라틴,물이든병;0:요리재료;56,33,11
마요네즈;P;달걀,올리브유,소금;0:요리재료;72,20,8
마요네즈L;P;달걀,올리브유;0:요리재료;79,21,0
메기야채샐러드;P;메기,야채모둠,마요네즈;2:+20,6:+30,7:+30;60,25,15
모둠생선회;P;연어회,장어회,참치회;0:요리재료;40,30,30
모둠회덮밥;P;모둠생선회,밥,야채모둠;0:요리재료;45,19,36
물에불린콩;P;콩,물이든병,소금;0:요리재료;70,25,5
물에불린콩물;P;물에불린콩가루,물이든병;0:요리재료;75,25,0
발레스화이어;P;발레스위스키,얼음;1:+38,2:-15,3:-15,4:+25,6:+30;75,25,0
버섯카나페;P;개암버섯,치즈조각,생크림;3:+3,4:+10,6:+18;50,30,20
베이컨과감자개밥;P;감자,베이컨;1:+6,3:-6,6:+10;60,40,0
베지터블카나페;P;당근,삶은감자,레몬;3:-9,4:+12,6:+25,10:7;50,40,10
브리흐네락스;P;얼음,브리흐네위스키,레몬;1:+25,2:-10,3:-10,4:+15,6:+45;57,40,3
블루베리생크림크레이프;P;크레이프,블루베리,생크림;0:요리재료;45,30,25
빙어무침;P;야채볶음,빙어;1:+5,5:+15,6:+20,9:+15;60,40,0
빵가루;P;식빵;0:요리재료;100,0,0
사과주스;P;사과,나무열매,설탕;1:+5,3:+5,6:+12;73,18,9
새우개밥;P;밥,새우,소금;1:+8,3:-8,6:+14;60,30,10
새우부르스케타;P;빵,야채모둠,새우;5:23,6:10,7:10,8:10,0:글루아스 연대기 1부 컷씬;40,40,20
새우초밥;P;새우회,밥,식초;0:요리재료;50,40,10
샐러리샐러드;P;샐러리,당근,양배추;0:요리재료;35,27,38
스크류드라이버;P;브리흐네위스키,오렌지주스,레몬;1:+28,2:-8,3:-8,4:+18,6:+42;20,75,5
아브네아잉어채소절임;P;아브네아잉어,야채모둠,소금;2:+5,6:+15,7:+10;55,30,15
아이스마끼아또;P;마끼아또,얼음,생크림;1:+25,6:+20;50,20,30
아이스카페모카;P;카페모카,얼음,생크림;1:+20,2:+30,3:+30;60,20,20
야채모둠;P;샐러리,당근,양파;0:요리재료;35,30,35
에그캐비어;P;철갑상어,계란프라이,치즈조각;1:+10,5:+11,6:+17;30,45,25
에스프레소마끼아또;P;에스프레소,스팀밀크,물;4:+5,5:+5,6:+5;40,40,20
연어초밥;P;연어회,밥,식초;0:요리재료;52,38,10
오렌지주스;P;오렌지,나무열매,설탕;2:+5,5:+5,6:+10;72,18,10
장어초밥;P;장어회,밥,식초;0:요리재료;59,31,10
참치뱃살초밥;P;참치회,밥,식초;0:요리재료;51,39,10
초장;P;식초,고추장,마늘;0:요리재료;45,44,11
초코크레이프케이크;P;크레이프,재료초콜릿,생크림;0:요리재료;47,27,26
초콜릿우유;P;초콜릿,우유,설탕;1:+5,2:+5,6:+15;45,42,13
추억의도시락;P;밥,계란프라이,쿠킹포션;0:요리재료;50,30,20
카레페이스트;P;카레가루,감자,고기조각;0:요리재료;70,15,15
카멜리아슬링;P;동백열매,물이든병,발레스위스키;1:+10,2:-3,3:-3,4:+10,6:+18;30,10,60
카카오초콜릿케익;P;카카오,밀가루빵반죽,설탕;0:요리재료;33,34,33
카페모카;P;에스프레소,재료초콜릿,스팀밀크;1:+10,2:+20,3:+20;40,20,40
카푸치노;P;에스프레소,스팀밀크,우유;4:+20;30,40,30
캐비어샐러드;P;청상아리,과일모둠,마요네즈;2:+30,7:+30;18,72,10
캐비어카나페;P;철갑상어,빵,나무열매;0:효과없음;40,55,5
코울슬로;P;양배추,마요네즈,식초;0:요리재료;70,12,18
크라켄탕탕이;P;크라켄다리살,마늘;0:요리재료;80,20,0
크라켄한상차림;P;크라켄매운탕,크라켄볶음모둠;0:요리재료;50,50,0
크레이프케이크;P;크레이프,생크림,신선한벌꿀;0:요리재료;74,19,7
크리스마스케이크;P;케이크만들기키트;0:요리재료;100,0,0
클럽샌드위치;P;식빵,양배추,토마토;0:요리재료;50,30,20
클럽샌드위치L;P;식빵,양배추;0:요리재료;63,37,0
키스온더립스;P;브리흐네위스키,레몬주스,설탕;1:+26,2:-8,3:-8,4:+18,6:+45;55,32,13
타라식소시지샌드위치;P;마늘빵,소시지,양배추;0:요리재료;35,35,30
토마토바질샐러드;P;토마토,바질,삶은감자;2:+5,3:-8,4:+5,10:7;50,30,20
필리아쿠키세트;P;버섯쿠키,코코넛쿠키,초코칩쿠키;3:+5,4:+20;40,40,20
할로윈포장캔디;P;할로윈호박사탕,할로윈유령젤리,할로윈호박젤리;0:요리재료;30,35,35
할로윈포장쿠키;P;할로윈모자쿠키,할로윈별쿠키,할로윈부엉이쿠키;0:요리재료;30,35,35
해파리냉채;P;해파리,소금,설탕;2:+12,5:+8,7:+8,9:+14;80,10,10
